cover_idx,"album_cover","album","description"
2131,"Walela.jpg","Walela","No description"
2132,"Genesis.jpg","Genesis","No description"
2133,"Rearranged.jpg","Rearranged","No description"
2134,"Furnace Room Lullaby.jpg","Furnace Room Lullaby","No description"
2135,"Middle Cyclone.jpg","Middle Cyclone","No description"
2136,"Blacklisted.jpg","Blacklisted","No description"
2137,"DixieChicks_Taking The Long Way.jpg","Taking The Long Way","No description"
2138,"Greatest Hits (1980-1994).jpg","Greatest Hits (1980-1994)","No description"
2139,"Red Hot.jpg","Red Hot","No description"
2140,"Rhino Hi-Five_ Blues Image - EP.jpg","Rhino Hi-Five_ Blues Image - EP","No description"
2141,"The Tango Club Night, Vol. 2.jpg","The Tango Club Night, Vol. 2","No description"
2142,"HerbAlpertGoingPlaces.jpg","Going Places","No description"
2143,"Save The Turtles_  The Turtles Greatest Hits.jpg","Save The Turtles_ The Turtles Greatest Hits","No description"
2144,"Groovin' with Manfred Mann - EP.jpg","Groovin' with Manfred Mann - EP","No description"
2145,"OvertonBerry_Wheedles.jpg","Wheedle's Groove_ Seattle's Finest in Funk & Soul 1965-75","No description"
2146,"OvertonBerry_LiveAtadmiral.jpg","Live at Admiral","No description"
2147,"Blue Note Stanley Turrentine Quintet_Sextet Studio Sessions.jpg","Blue Note Stanley Turrentine Quintet_Sextet Studio Sessions","No description"
2148,"Surfers' Choice.jpg","Surfers' Choice","No description"
2149,"Songs of Joy & Peace.jpg","Songs of Joy & Peace","No description"
2150,"Masonwilliams.jpg","Music - 1968-1971","No description"
2151,"The Best of the Diamonds_ The Mercury Years.jpg","The Best of the Diamonds_ The Mercury Years","No description"
2152,"Death_Cab_for_Cutie.jpg","Underneath the Sycamore - Single","No description"
2153,"Miles Davis & John Coltrane Final Tour.jpg","Miles Davis & John Coltrane Final Tour","No description"
2155,"TheWho_at_FillmoreEast 1968.jpeg","The Who At Filllmore East 1968","No description"
